"","Country","Region","district","Product","date","Open","High","Low","Close","Currency"
"","Somalia","Hiraan","Buloburto","maize","2017-08-01","12195.4","12516.93","11873.87","14668.25","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-09-01","16123.42","17303.36","14943.48","12686.04","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-10-01","11639.62","13250.51","10028.73","12671.91","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-11-01","13147.23","14386.59","11907.86","9745.87","SOS"
"","Somalia","Hiraan","Buloburto","maize","2017-12-01","8508.7","9998.72","7018.69","9520.51","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-01-01","9828.33","11025.21","8631.45","10795.64","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-02-01","11394.32","12516.25","10272.39","10768.61","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-03-01","10887.91","11676.9","10098.92","10446.57","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-04-01","10369.17","10698.49","10039.86","9977.46","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-05-01","9884.71","10366.1","9403.32","8778.12","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-06-01","8339.75","8718.27","7961.24","8698.55","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-07-01","8827.78","9424.2","8231.37","8165.58","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-08-01","7940.45","8552.27","7328.64","7631.31","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-09-01","7525.65","8189.77","6861.54","7071.18","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-10-01","6870.13","7518.89","6221.37","7204.38","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-11-01","7393.32","8093.5","6693.15","7418.14","SOS"
"","Somalia","Hiraan","Buloburto","maize","2018-12-01","7550.1","8321.49","6778.72","8259.02","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-01-01","8826.86","9622.42","8031.29","8224.31","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-02-01","8189","8983.36","7394.64","8668.53","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-03-01","9060.56","9921.24","8199.89","9030.51","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-04-01","9210.02","10162.1","8257.95","9574.2","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-05-01","9991.19","11017.96","8964.42","9676.61","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-06-01","9743.57","10799.62","8687.52","10540.29","SOS"
"","Somalia","Hiraan","Buloburto","maize","2019-07-01","11163.91","12249.34","10078.48","10644.7","SOS"
